TA_CODE;yeni_ulke;NEW_TA_CODE;sacma_ta_code
ge80110099;DE;de80651592;us00000070
ge80110100;DE;de81082521;us00000071
ge80061866;DE;de81082490;us00000072
ge80000331;DE;de80006758;us00000073
ge80056330;DE;de80108084;us00000074
ge80036850;DE;de80215676;us00000075
ge80036854;DE;de80086698;us00000076
ge80125182;DE;de80314857;us00000077
ge80109255;DE;de80093904;us00000078
ge80110571;DE;de80004264;us00000079
ge80117352;DE;de80053479;us00000080
ge80117351;DE;de81082513;us00000081
ge80110005;DE;de80065633;us00000082
ge80129058;DE;de80995981;us00000083
ge80014177;DE;de81082519;us00000084
ge80114330;DE;de80601174;us00000085
ge80024724;DE;de80070183;us00000086
ge80002414;DE;de80045141;us00000087
ge80011465;AZ;az80086836;us00000088
ge80093926;DE;de81082489;us00000089
ge80087617;DE;de80409944;us00000090
ge80117295;DE;de80800372;us00000091
ge80117258;DE;de81082511;us00000092
ge80124875;DE;de80034137;us00000093
ge80069053;DE;de81082499;us00000094
ge80093379;DE;de81082520;us00000095
ge80060098;DE;de80078328;us00000096
ge80020285;DE;de80406184;us00000097
ge80014257;DE;de81082507;us00000098
ge80110816;DE;de80576573;us00000099
ge80017054;DE;de80146174;us00000100
ge80001090;DE;de80025068;us00000101
ge80050383;DE;de81082508;us00000102
ge80002832;DE;de80053577;us00000103
ge80124814;DE;de80956897;us00000104
ge80044535;DE;de81082506;us00000105
ge80044837;DE;de81082522;us00000106
ge80037061;DE;de81082493;us00000107
ge80001095;DE;de80025325;us00000108
ge80000068;DE;de81082465;us00000109
ge80114328;DE;de81082468;us00000110
ge80037641;DE;de81082516;us00000111
ge80002413;DE;de80045138;us00000112
ge80117277;DE;de80050725;us00000113
ge80002731;DE;de81082509;us00000114
ge80026975;DE;de81082514;us00000115
ge80068392;DE;de80181701;us00000116
ge80132135;DE;de80032658;us00000117
ge80003510;DE;de80067062;us00000118
ge80011800;DE;de80032658;us00000119
ge80127796;DE;de80583233;us00000120
ge80110850;DE;de81082477;us00000121
ge80109559;DE;de80052308;us00000122
ge80003169;DE;de81082518;us00000123
ge80115753;DE;de80923102;us00000124
ge80130380;DE;de81082504;us00000125
ge80069934;DE;de80017779;us00000126
ge80108604;DE;de81082494;us00000127
ge80043561;DE;de80062551;us00000128
ge80137548;DE;de80047158;us00000129
ge80023250;DE;de80060149;us00000130
ge80057385;DE;de80060686;us00000131
ge80110827;DE;de81082473;us00000132
ge80110894;DE;de80014630;us00000133
ge80021633;DE;de80006133;us00000134
ge80036873;DE;de81082471;us00000135
ge80114677;DE;de81082475;us00000136
ge80106177;DE;de80029358;us00000137
ge80045309;DE;de80098136;us00000138
ge80096567;DE;de80003248;us00000139
ge80108547;DE;de81082491;us00000140
ge80045395;DE;de80256394;us00000141
ge80123385;DE;de80396938;us00000142
ge80037653;DE;de80060914;us00000143
ge80071344;DE;de80006450;us00000144
ge80120811;DE;de81082469;us00000145
